,Cotton,Denim,Mixed Fabrics,Polyester,Rayon,Silk,Wool
Cotton,36,3,11,1,5,1,3
Denim,0,59,0,0,0,1,0
Mixed Fabrics,6,4,36,3,4,4,3
Polyester,8,1,6,27,9,1,4
Rayon,1,5,5,5,35,1,4
Silk,1,0,3,4,0,32,3
Wool,5,4,2,0,1,0,46
