epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,1.505670411865545,0.4288052373158756,0.4136184104169375,0.4293859987784615,0.41672909078206255,1.3137881293588756,0.4744897959183674,0.4509666574560191,0.47827505424357725,0.44482674765223446,0.0001
2,1.033368259749644,0.6252045826513911,0.6190096326893622,0.626032423343198,0.6193204406625609,1.1911325941280442,0.5408163265306123,0.5538105169428545,0.5388824250809724,0.5345373568377797,0.0001
3,0.8252927692700872,0.7055828332424077,0.7017905213608816,0.7050765780065016,0.7023442143173594,1.137683019954331,0.5969387755102041,0.5896784070814356,0.598566082827584,0.5875290883698986,0.0001
4,0.6684446992451851,0.773231496635752,0.7699461415565226,0.7712692541648398,0.7697028368766248,1.0958964325943772,0.6096938775510204,0.6160775168686028,0.6083731643659005,0.6086675428538231,0.0001
5,0.5509955560072788,0.8163302418621567,0.8155982985061206,0.8159289211737357,0.8155370997484122,1.0616295498852828,0.6428571428571429,0.6556344564019058,0.640675607685293,0.6438038936374991,0.0001
6,0.44138169853085496,0.8490634660847427,0.8494389950948044,0.8502129534706674,0.8496420438527467,1.144998669472276,0.6352040816326531,0.6382856725461163,0.635322002452753,0.6313812564237636,0.0001
7,0.37462232318395355,0.8754318967084924,0.8752063076187577,0.8757999169023891,0.8753738072248342,1.1323526167139715,0.6479591836734694,0.6482756458700508,0.6468625200465394,0.6460558946914042,0.0001
8,0.30337288924500516,0.8997999636297509,0.8993158133931625,0.8995829585364646,0.8994002190042515,1.15472205530624,0.6479591836734694,0.6551108818019747,0.6479945599194993,0.6498484344859788,0.0001
9,0.2654316043811487,0.9121658483360611,0.9128246951600193,0.9129727517402288,0.9128850986678841,1.1871135180093804,0.6632653061224489,0.6876158837574279,0.663253514040439,0.6668815723569598,0.0001
10,0.21264813628212326,0.9296235679214403,0.9293171206652843,0.9294598818366364,0.9293393199033527,1.224770875609651,0.6709183673469388,0.6742387891180707,0.6694325650136789,0.6678429067300636,0.0001
11,0.2078140436767025,0.9307146753955264,0.930793044314896,0.9309807254815473,0.93086003315119,1.2941488234364256,0.6530612244897959,0.6557307132040707,0.6522711549951259,0.651426663492625,0.0001
12,0.20071351023332967,0.9325331878523367,0.9328186122671605,0.9329888123401214,0.9328878244618497,1.283870272946601,0.6505102040816326,0.6559492703673969,0.6525030659413227,0.6497980136933695,0.0001
13,0.15698701721263986,0.9492635024549918,0.9494922254536421,0.9496411017556455,0.9495495438211122,1.2844667039355453,0.6709183673469388,0.6714222582614597,0.6721683280399987,0.6708592406644819,0.0001
14,0.13406971198745285,0.9554464448081469,0.9551449896496448,0.9550811701995422,0.9550965780247342,1.3239173273346863,0.6989795918367347,0.7075808199976201,0.7014087607307946,0.6984001350127448,0.0001
15,0.1306532086565031,0.9574468085106383,0.9574116356253203,0.9571727843004271,0.9572803469224679,1.2843127037797655,0.6836734693877551,0.684631013038391,0.685017766736895,0.6785802622298933,0.0001
