epoch,train_loss,train_accuracy,train_precision,train_recall,train_macro_f1,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1,learning_rate
1,1.4691491285266172,0.47154028005091836,0.4554698615700463,0.471913083600055,0.45889819452110675,1.4154921064571457,0.4770408163265306,0.4631484438913843,0.4823944215590705,0.4428029671677089,0.0003
2,1.206316807938177,0.5848336061102019,0.5766124369818106,0.587077464914506,0.5796920302346527,1.3311855659192922,0.5535714285714286,0.5702913500082893,0.5548095971824786,0.5414563657867272,0.0003
3,1.0711284309847828,0.6432078559738135,0.6391253247209071,0.64611875277299,0.6411043835310716,1.2838487576465218,0.5816326530612245,0.5868516288315787,0.5825288512939845,0.5762805994961704,1e-05
4,0.9619821445749854,0.6923076923076923,0.6878156505442332,0.6918010448473978,0.688733885068879,1.2167132058922125,0.576530612244898,0.5746595957676187,0.5800328606018679,0.5668468040172278,1e-05
5,0.8544931090036334,0.7379523549736315,0.7332869956125052,0.7354739723175195,0.733518803844045,1.2293593336124808,0.5918367346938775,0.5954405201598159,0.5948201314424074,0.5836825248580189,1e-05
6,0.7734642457823294,0.773413347881433,0.7713656037708125,0.7734691212064174,0.7721363736587329,1.2109960013506365,0.5969387755102041,0.5920400772127952,0.5986604194836639,0.5887209160903933,1e-05
7,0.6983893646893014,0.8056010183669758,0.802468982048215,0.8035166210902371,0.802642261402149,1.227671311826122,0.6122448979591837,0.6190524411034974,0.6137071161284237,0.6097858922172149,1e-05
8,0.6589831444085089,0.8248772504091653,0.8233109568995695,0.8241157729865124,0.8235034108118968,1.2200324109622411,0.6071428571428571,0.6145271953359748,0.6080862237036572,0.6004206490240679,1e-05
9,0.6042997599255066,0.8472449536279324,0.8468231942729112,0.8473483414122435,0.846842759900988,1.201031656897798,0.6479591836734694,0.6455204732360755,0.6478176786893493,0.6457748023068776,1e-05
10,0.5490980509693654,0.8701582105837425,0.8698029324405168,0.8703947628217904,0.8700136978889838,1.2321308966802091,0.6071428571428571,0.6141788759574494,0.6055627181535173,0.6045330765500536,1e-05
11,0.53185389649545,0.8721585742862339,0.8718475574736979,0.8717987006265838,0.8716930028911787,1.2381877047674996,0.6275510204081632,0.6293198158882037,0.6254991981384234,0.6235903934754916,1e-05
12,0.4862513341921463,0.8883433351518458,0.8883738604022956,0.8892425349148542,0.8886920885577861,1.2387149224475937,0.6428571428571429,0.6446121581990967,0.6436707965158328,0.6407016401991463,5e-06
13,0.4566678454776659,0.9076195671940352,0.9073608766946794,0.907632772291489,0.9074633696668943,1.2202661329386186,0.6377551020408163,0.633600113413754,0.6363990126096664,0.6335989854684861,5e-06
14,0.4422653940162305,0.91198399709038,0.9122292664094519,0.9125962578109583,0.9123654575306066,1.2076366020708669,0.6607142857142857,0.6718325067584432,0.6578841860318858,0.6606387330120604,5e-06
15,0.4304445677181659,0.9167121294780869,0.9164876121484234,0.9165033722138973,0.9164401238813245,1.2119300961494446,0.6505102040816326,0.651382641438614,0.6504158674255527,0.6479622096711937,5e-06
16,0.4144712071794665,0.9250772867794145,0.9245434411589069,0.9244617571750454,0.9244439524887442,1.2209784838618065,0.6479591836734694,0.6552511070803291,0.6464733813402095,0.6479790574747936,5e-06
17,0.39666090050184155,0.9328968903436988,0.932999289453625,0.9331725614434123,0.9330577587291998,1.204745585821113,0.6454081632653061,0.6508985028038204,0.6445709254425962,0.6458320229173653,2.5e-06
18,0.39321593483657613,0.9332605928350609,0.9331039529328728,0.9329210586417267,0.9330003547760768,1.22224809746353,0.6454081632653061,0.6441557387795719,0.6432266280934561,0.6417413999740712,2.5e-06
19,0.3817262939375777,0.939443535188216,0.9393330219322461,0.939598006286742,0.9394075476571849,1.2037689661493107,0.6530612244897959,0.6563316876905148,0.650620263513726,0.6515222107591009,2.5e-06
20,0.3835882671498498,0.9372613202400436,0.9375440682094458,0.9379478666299076,0.9377056705338419,1.2052791921459898,0.6607142857142857,0.6618643651430537,0.6585327505424358,0.6596576253471174,1.25e-06
