epoch,train_loss,train_accuracy,train_precision,train_recall,train_macro_f1,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1,learning_rate
1,1.430833366594004,0.4911802145844699,0.4796458036445966,0.4914050534083379,0.48291300401211223,1.3835762471568829,0.5025510204081632,0.4938439306578052,0.5066074966196031,0.4736582803480815,0.001
2,1.200306021228533,0.6052009456264775,0.5999757633924541,0.6065603774062576,0.602036659934087,1.3221596795685437,0.5637755102040817,0.5630275217766358,0.5650136788151315,0.5586819398642324,0.001
3,1.0618292291850735,0.6635751954900891,0.6586432828162426,0.6602014136999964,0.6582936297916947,1.383720376053635,0.5408163265306123,0.5563808636139334,0.5434813370648722,0.5306162517204529,0.001
4,0.9133992339290474,0.7410438261502091,0.736710974684107,0.738592989052987,0.7370466936967366,1.3335077300363658,0.5816326530612245,0.5691523188107039,0.5841325744473443,0.5720319943261086,3e-05
5,0.8307394908978563,0.7766866703036915,0.7752156424010693,0.7771244768162701,0.7758267822318228,1.2972375519421635,0.6071428571428571,0.6064011800683866,0.6046901040847772,0.6029526068794763,3e-05
6,0.7578119197462359,0.8097835970176396,0.8075619370637838,0.8090687140237686,0.8079902894948517,1.29962001771343,0.5969387755102041,0.5968037064408325,0.5956180623250843,0.5934690554386856,3e-05
7,0.7064729899270987,0.834151663938898,0.8340373261905453,0.8346390242414926,0.8340773026094385,1.2891496505056108,0.6224489795918368,0.615189933318067,0.6199136819596868,0.615352030544397,3e-05
8,0.6551373773302722,0.856883069649027,0.8564343975552153,0.8565635294355127,0.8563343924310777,1.2749512852454672,0.6122448979591837,0.611917722009899,0.6125750762554637,0.6083684189745708,3e-05
9,0.626614194259706,0.8677941443898891,0.8681408632753164,0.8684225654938579,0.8681664393769729,1.2635540889233958,0.6198979591836735,0.6148170508424027,0.6194970283953334,0.6114272482141471,3e-05
10,0.575859293073367,0.889798145117294,0.888893675498708,0.8888732366630032,0.8887240441530813,1.233951422632957,0.6428571428571429,0.641722117191142,0.6427156378730229,0.6412815764652544,3e-05
11,0.5607637299973653,0.895071831242044,0.8950992916066651,0.8950418114212683,0.8949799623781596,1.220626186351387,0.6581632653061225,0.6549438017277459,0.6573731958114524,0.6536636940673877,3e-05
12,0.5170518486125618,0.9163484269867248,0.9161535496634207,0.9157012164238205,0.9158587362114927,1.2693064006007448,0.6479591836734694,0.6437982102403975,0.6469096883745794,0.641943481813698,3e-05
13,0.5048857210961054,0.9208947081287506,0.9204056638007951,0.9206125904393293,0.9204727766802286,1.2360611326840458,0.6479591836734694,0.6468976616655453,0.6461667872079495,0.6440009482136445,3e-05
14,0.47454530688974506,0.9379887252227678,0.9374845013340122,0.937318549063133,0.9373791413998169,1.2447584076803557,0.6760204081632653,0.6794575630226076,0.6733200213829754,0.6748520575161834,3e-05
15,0.47300998877126277,0.9328968903436988,0.9325411118662538,0.9325250733358483,0.9325018545738566,1.2279786017476295,0.6377551020408163,0.6368703929564019,0.6384390427973964,0.637252024011606,3e-05
16,0.4675449451699563,0.9339879978177851,0.9334034375893804,0.9333685969940034,0.9333797745896769,1.214099721032746,0.6556122448979592,0.6539565314622459,0.6553410270117291,0.6531274465659848,3e-05
17,0.4410592433235216,0.9512638661574832,0.9511751525417667,0.9512389203789701,0.9511710583539454,1.1914354319475136,0.6683673469387755,0.6670958269865895,0.6664924058991855,0.6654209425583539,1.5e-05
18,0.41957352664995723,0.9585379159847245,0.9582751890912828,0.9582711139759243,0.9582586324350405,1.1781656060900008,0.6785714285714286,0.6832603430684454,0.6779110719788685,0.6782268183769674,1.5e-05
19,0.4140714064882677,0.9594471722131297,0.9589622256802028,0.9590310659310531,0.9589759638703886,1.1868296697431682,0.6632653061224489,0.6598322813245845,0.664078959781139,0.6587665349783692,1.5e-05
20,0.40612477389308055,0.9634478996181124,0.9635941021866532,0.963325677001145,0.9634038897971153,1.194006291579227,0.6811224489795918,0.6789029891799049,0.6808983994214018,0.6785042423659177,1.5e-05
